aq_id,longitude,latitude,location
NL49007,4.845233,52.381331,Amsterdam-Einsteinweg
NL49012,4.887811,52.389983,Amsterdam-Van Diemenstraat
NL49014,4.866208,52.359714,Amsterdam-Vondelpark
NL49551,4.6018419999999995,52.463039,IJmuiden-Kanaalstraat
NL49553,4.601986,52.493992,Wijk aan Zee-De Banjaert
NL49561,4.774006,52.334003,Badhoevedorp-Sloterweg
NL01487,4.48066,51.89113,Rotterdam-Pleinweg
NL01488,4.48759,51.89361,Rotterdam-Zwartewaalstraat
NL01491,4.4307,51.93858,Overschie-A13
NL01494,4.40139,51.92139,Schiedam-A.Arienstraat
NL01496,4.121944,51.977802999084986,Rotterdam HvHolland
NL49003,4.943822,52.389314,Amsterdam-Nieuwendammerdijk
NL49017,4.8997,52.358039,Amsterdam-Stadhouderskade
NL49020,4.860319,52.374786,Amsterdam-Jan van Galenstraat
NL01493,4.46136,51.92711,Rotterdam-Statenweg
NL01908,4.66012,51.8579,Alblasserdam-Ruigenhil
NL10107,6.042399,51.11919,Posterholt-Vlodropperweg
NL10230,5.14845,51.51844,Biest Houtakker-Biestsestraat
NL10236,5.47235,51.46866,Eindhoven-Genovevalaan
NL10237,5.444833,51.44416,Eindhoven-Noordbrabantlaan
NL10445,4.315872,52.075071,Den Haag-Amsterdamse Veerkade
NL10550,4.642319,52.370508,Haarlem-Schipholweg
NL10641,4.987444,52.20153,Breukelen-A2
NL10741,5.857777,51.841372,Nijmegen-Graafseweg
NL10742,5.856938,51.838221,Nijmegen-Ruyterstraat
NL10937,6.578901,53.217796,Groningen-Europaweg
NL01485,4.35524,51.86742,Rotterdam-Hoogvliet
NL01489,4.58007,51.86942,Ridderkerk-A16
NL01495,4.22799,51.93207,Maassluis-Kwartellaan
NL10131,5.85307,51.54052,Vredepeel-Vredeweg
NL10133,5.881748,50.90228,Wijnandsrade-Opfergeltstraat
NL10235,4.359835,51.43444,Huijbergen-Vennekenstraat
NL10247,5.393328,51.407365,Veldhoven-Europalaan
NL10301,3.916623,51.634706,Zierikzee-Lange Slikweg
NL10318,3.749484,51.294498,Philippine-Stelleweg
NL10404,4.289185,52.077148,Den Haag-Rebecquestraat
NL10442,4.708239,51.800658,Dordrecht-Bamendaweg
NL10444,4.510817,52.296556,De Zilk-Vogelaarsdreef
NL10446,4.359376,52.039023,Den Haag-Bleriotlaan
NL10538,5.048975,52.80342,Wieringerwerf-Medemblikkerweg
NL10643,5.128183,52.101308,Utrecht-Griftpark
NL10644,4.923301,51.974489,Cabauw-Wielsekade
NL10738,5.708419,52.111621,Wekerom-Riemterdijk
NL10818,6.017571,52.654144,Barsbeek-De Veenen
NL10918,5.573491,52.916915,Balk-Trophornsterweg
NL10929,6.932432,52.875725,Valthermond-Noorderdiep
NL10934,6.276815,53.330425,Kollumerwaard-Hooge Zuidwal
NL10938,6.608937,53.246535,Groningen-Nijensteinheerd
NL49546,4.83206,52.42023,Zaanstad-Hemkade
NL49564,4.71507132053375,52.3274501787129,Hoofddorp-Hoofdweg
NL49565,4.77082,52.28013,Oude Meer-Aalsmeerderdijk
NL49701,4.816706,52.448011,Zaandam-Wagenschotpad
NL49703,4.728581,52.398437,Spaarnwoude-Machineweg
NL49704,4.773,52.428,Zaanstad-Hoogtij
NL54004,5.969485,51.978328,Arnhem Velperbroek
NL10138,5.986853,50.90032,Heerlen-Jamboreepad
NL10722,6.605367,52.091801,Eibergen-Lintveldseweg
