Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,133.000000,140.000000,129.210007,139.119995,97.268341,687800
2009-01-05,138.000000,143.320007,137.460007,138.779999,97.030579,692900
2009-01-06,140.000000,142.000000,137.979996,139.839996,97.771683,776400
2009-01-07,138.990005,139.000000,129.979996,130.789993,91.444237,963700
2009-01-08,130.100006,134.160004,126.580002,133.130005,93.080284,704600
2009-01-09,134.000000,134.000000,126.470001,127.300003,89.004120,494700
2009-01-12,127.019997,127.639999,121.599998,123.529999,86.368248,492500
2009-01-13,123.150002,128.889999,122.410004,126.989998,88.787376,515600
2009-01-14,123.970001,124.129997,118.279999,119.599998,83.620529,483500
2009-01-15,118.949997,120.800003,112.489998,116.669998,81.571960,606100
2009-01-16,119.000000,120.269997,113.320000,117.160004,81.914581,699400
2009-01-20,113.919998,114.320000,102.750000,103.440002,72.321976,1897000
2009-01-21,98.250000,109.349998,96.190002,108.500000,75.859779,3231600
2009-01-22,104.589996,109.230003,99.919998,107.269997,74.999771,1462800
2009-01-23,103.199997,112.739998,103.080002,111.849998,78.201958,678500
2009-01-26,114.199997,115.440002,105.669998,107.050003,74.845963,674400
2009-01-27,108.139999,109.320000,103.150002,108.389999,75.782890,594400
2009-01-28,110.730003,120.089996,110.730003,119.500000,83.550621,878900
2009-01-29,116.000000,117.919998,107.839996,108.330002,75.740891,787300
2009-01-30,109.000000,110.870003,106.900002,108.800003,76.069534,749300
2009-02-02,106.639999,111.879997,105.529999,110.459999,77.230118,465800
2009-02-03,111.169998,112.360001,106.919998,109.260002,76.391129,594300
2009-02-04,107.419998,115.739998,106.250000,113.809998,79.572350,838400
2009-02-05,111.000000,118.269997,110.970001,116.279999,81.299278,759000
2009-02-06,115.599998,123.269997,115.550003,122.489998,85.641106,691400
2009-02-09,121.470001,121.629997,117.790001,118.820000,83.075180,551400
2009-02-10,117.029999,121.190002,112.930000,113.949997,79.670219,851500
2009-02-11,111.500000,115.989998,110.720001,114.059998,79.747139,791500
2009-02-12,112.720001,114.559998,109.089996,113.980003,79.691193,547700
2009-02-13,112.980003,114.519997,110.629997,111.610001,78.034203,398900
2009-02-17,109.800003,109.800003,105.010002,105.400002,73.692360,477800
2009-02-18,109.300003,109.300003,102.910004,106.550003,74.496361,463900
2009-02-19,103.900002,108.680000,102.279999,102.940002,71.972359,637700
2009-02-20,100.260002,105.150002,98.629997,103.070000,72.063278,1572300
2009-02-23,104.199997,104.610001,97.000000,97.870003,68.427620,897500
2009-02-24,99.900002,107.639999,98.300003,107.050003,74.845963,943900
2009-02-25,106.050003,108.540001,101.610001,105.570000,73.811180,805100
2009-02-26,107.260002,109.209999,100.000000,100.739998,70.434212,760400
2009-02-27,99.379997,102.379997,96.599998,96.809998,67.686470,1370700
2009-03-02,95.800003,97.900002,91.570000,92.320000,64.547203,1166900
2009-03-03,94.370003,95.220001,89.809998,90.570000,63.323669,1399600
2009-03-04,92.940002,99.160004,91.599998,96.339996,67.357872,1517000
2009-03-05,92.480003,96.230003,90.290001,91.419998,64.439682,754100
2009-03-06,95.019997,95.019997,88.910004,92.400002,65.130463,786000
2009-03-09,90.500000,93.629997,89.500000,90.900002,64.073166,539000
2009-03-10,92.820000,100.519997,92.250000,100.500000,70.839951,807500
2009-03-11,100.980003,106.500000,99.019997,105.309998,74.230385,886800
2009-03-12,105.000000,111.699997,102.800003,111.199997,78.382118,758400
2009-03-13,109.260002,111.250000,105.550003,108.000000,76.126526,710400
2009-03-16,108.900002,110.400002,103.449997,103.900002,73.236542,735900
2009-03-17,104.320000,109.690002,102.730003,109.690002,77.317749,534900
2009-03-18,107.500000,122.459999,106.639999,121.989998,85.987724,1301300
2009-03-19,120.580002,121.989998,113.360001,113.790001,80.207764,1146800
2009-03-20,114.709999,116.540001,112.769997,113.959999,80.327560,779600
2009-03-23,117.809998,134.070007,115.919998,133.960007,94.425072,1516500
2009-03-24,128.899994,139.000000,128.139999,128.440002,90.534195,1223800
2009-03-25,130.050003,134.429993,125.379997,132.550003,93.431198,879700
2009-03-26,132.550003,136.830002,127.669998,136.690002,96.349411,1220600
2009-03-27,133.750000,133.750000,127.180000,127.489998,89.864525,1154800
2009-03-30,123.540001,129.449997,123.379997,124.889999,88.031891,1179300
2009-03-31,126.500000,130.899994,123.430000,130.039993,91.661957,970500
2009-04-01,128.860001,132.410004,128.199997,130.690002,92.120155,1303100
2009-04-02,133.000000,138.860001,130.820007,136.410004,96.152039,1203800
2009-04-03,134.880005,138.160004,134.229996,138.000000,97.272774,711700
2009-04-06,135.449997,138.509995,133.309998,136.369995,96.123840,830800
2009-04-07,132.800003,134.470001,128.029999,128.580002,90.632851,817500
2009-04-08,128.610001,131.860001,125.690002,129.020004,90.943001,1228800
2009-04-09,135.500000,138.830002,132.000000,138.039993,97.300972,844700
2009-04-13,135.759995,140.960007,134.449997,139.369995,98.238457,959800
2009-04-14,138.369995,139.369995,131.929993,132.190002,93.177467,755100
2009-04-15,131.639999,139.410004,129.990005,139.000000,97.977638,673100
2009-04-16,137.199997,142.500000,132.490005,136.600006,96.285988,702000
2009-04-17,131.179993,137.800003,129.690002,135.919998,95.806648,855300
2009-04-20,134.949997,134.949997,123.389999,123.589996,87.115501,1123500
2009-04-21,120.000000,138.889999,119.120003,138.789993,97.829636,1560400
2009-04-22,136.500000,142.500000,133.869995,136.179993,95.989891,1693700
2009-04-23,139.429993,148.050003,136.440002,147.720001,104.124168,1468800
2009-04-24,145.389999,152.720001,143.059998,151.160004,106.548943,1273100
2009-04-27,149.990005,153.259995,148.020004,149.460007,105.350655,687600
2009-04-28,148.789993,149.470001,146.539993,146.839996,103.503860,516000
2009-04-29,150.600006,151.929993,147.589996,151.029999,106.457298,639500
2009-04-30,151.000000,152.970001,146.460007,146.520004,103.278297,675000
2009-05-01,147.750000,149.429993,144.500000,148.419998,104.617584,1159700
2009-05-04,150.179993,158.250000,150.149994,157.990005,111.363220,802000
2009-05-05,156.250000,160.600006,155.539993,157.690002,111.151810,1020400
2009-05-06,158.000000,160.380005,153.509995,155.639999,109.706757,1084500
2009-05-07,158.600006,158.610001,143.660004,144.479996,101.840355,1634100
2009-05-08,148.130005,149.479996,143.009995,148.350006,104.568260,1207400
2009-05-11,145.300003,147.330002,141.740005,142.050003,100.127533,620700
2009-05-12,142.050003,146.490005,139.149994,143.029999,100.818321,803400
2009-05-13,140.600006,142.669998,137.740005,138.059998,97.315086,861200
2009-05-14,138.529999,142.199997,137.229996,140.029999,98.703667,617100
2009-05-15,140.020004,144.250000,136.820007,140.809998,99.253494,942700
2009-05-18,143.250000,145.029999,140.250000,144.309998,101.720573,991800
2009-05-19,145.520004,145.520004,138.639999,139.679993,98.456940,842100
2009-05-20,141.789993,143.080002,136.479996,137.160004,96.680695,523000
2009-05-21,135.380005,141.889999,134.500000,141.750000,99.916061,1386600
2009-05-22,143.149994,149.250000,141.479996,147.720001,104.124168,884500
2009-05-26,145.690002,154.929993,145.330002,154.929993,109.206284,1014400
2009-05-27,154.960007,157.000000,148.500000,149.110001,105.103928,588800
2009-05-28,149.429993,153.899994,148.839996,153.330002,108.078484,476800
2009-05-29,153.970001,159.500000,151.339996,159.500000,112.427582,1062800
2009-06-01,162.919998,165.750000,157.979996,164.990005,116.297394,802500
2009-06-02,165.839996,168.309998,163.080002,167.449997,118.031387,745400
2009-06-03,166.229996,167.729996,162.369995,164.529999,115.973068,807000
2009-06-04,165.250000,166.699997,162.360001,165.149994,116.964600,763400
2009-06-05,167.820007,169.750000,163.199997,163.740005,115.966057,1061700
2009-06-08,169.000000,170.559998,164.699997,169.360001,119.946350,899500
2009-06-09,172.949997,183.800003,169.410004,182.139999,128.997528,1840100
